Ciudad,País,Continente,Temperatura,Humedad,Velocidad del viento,Clima
A Coruña,ES,Europa,11.74,85,9.77,llovizna ligera
Barcelona,ES,Europa,12.64,58,3.09,cielo claro
London,GB,Europa,11.47,91,6.69,nubes
Berlin,DE,Europa,3.78,87,4.92,cielo claro
Tokyo,JP,Asia,12.75,64,3.6,cielo claro
Dubai,AE,Asia,25.96,53,3.09,cielo claro
Bangkok,TH,Asia,24.44,79,2.06,muy nuboso
Baku,AZ,Asia,15.03,82,3.09,muy nuboso
Buenos Aires,AR,América del Sur,21.52,78,2.57,muy nuboso
Medellín,CO,América del Sur,19.14,83,1.34,nubes
Lima,PE,América del Sur,20.14,78,3.09,algo de nubes
Montevideo,UY,América del Sur,21.46,83,3.6,llovizna ligera
New York,US,América del Norte,5.72,43,6.69,cielo claro
Los Angeles,US,América del Norte,13.39,78,1.54,niebla
Toronto,CA,América del Norte,-3.68,66,10.73,cielo claro
Vancouver,CA,América del Norte,3.71,96,1.54,nubes
Cairo,EG,África,21.42,46,4.12,algo de nubes
Lagos,NG,África,27.94,79,3.93,lluvia ligera
Nairobi,KE,África,21.62,46,5.14,algo de nubes
Republic of Cabo Verde,CV,África,24.68,69,7.73,nubes
